Production,Sales,demand,population,gdp,disbusment,interestrate,year,month
755.0,734.0,783.0,135.4,258265.962,151837.04,8.5,2018,1
419.0,500.0,486.0,138.5,181108.353,159203.33,7.1,2020,3
697.0,674.0,689.0,133.6,230495.313,166919.83,9.07,2016,11
777.0,786.0,787.0,137.0,270061.292,150550.75,7.92,2019,2
413.0,404.0,344.9,131.4,209944.313,124961.5,9.88,2015,6
413.0,403.0,408.0,129.5,209578.98,106545.67,10.24,2014,4
347.0,403.0,386.0,126.0,194621.65,84119.17,12.88,2012,3
811.0,829.0,802.0,139.7,296221.433,192776.05,7.64,2021,2
403.0,391.0,403.0,132.8,230641.984,153998.33,9.27,2016,5
302.0,314.0,298.0,130.2,206009.304,108459.84,10.23,2014,9
591.0,580.0,580.0,127.4,209977.98,92455.0,11.0,2013,1
425.0,405.0,405.0,138.8,162590.383,165504.67,7.2,2020,5
591.0,523.0,553.0,125.5,198526.99,80562.17,12.92,2011,11
314.0,309.0,308.0,130.1,205460.637,108077.0,10.23,2014,8
705.0,700.0,702.0,134.0,229554.973,169611.17,8.96,2017,2
458.0,400.0,423.0,123.9,192736.0,70213.08,11.17,2010,12
423.0,408.0,406.0,140.5,267073.99,209304.43,7.98,2021,10
314.0,308.0,335.0,131.5,205789.983,127879.0,9.81,2015,7
691.0,537.0,686.0,138.2,272869.953,152688.25,7.08,2019,12
366.0,334.0,353.0,126.2,189865.98,84952.75,12.69,2012,4
347.0,323.0,310.0,133.2,226038.317,160459.08,9.17,2016,8
825.0,823.0,835.0,140.8,338282.98,215502.57,8.1,2022,1
403.0,391.0,398.0,128.1,195877.32,98007.09,10.69,2013,6
296.0,289.0,312.0,122.9,177354.0,63913.67,10.58,2010,5
287.0,278.0,286.0,126.9,191424.98,89120.67,11.75,2012,9
467.0,511.0,524.0,139.8,260693.833,194842.1,7.68,2021,3
894.0,858.0,885.0,140.7,314546.65,213436.52,8.06,2021,12
323.0,314.0,325.0,131.6,209342.983,130796.5,9.74,2015,8
315.0,292.0,284.0,124.6,188085.0,74892.67,11.92,2011,5
399.0,414.0,408.0,138.6,131437.053,162354.0,7.15,2020,4
335.0,314.0,327.0,123.8,187433.0,69313.17,11.08,2010,11
323.0,200.0,360.0,137.5,247103.952,151405.75,7.58,2019,6
531.0,514.0,625.0,140.9,288039.68,219634.66,8.18,2022,3
410.0,401.0,386.0,136.0,243263.962,151337.04,8.29,2018,6
347.0,322.0,346.0,122.4,182277.0,60314.0,10.25,2010,1
445.0,434.0,343.0,137.1,264894.622,150764.5,7.83,2019,3
